filename,thermal_gradient,circulation_rate,kick_intensity,kick_time,k_reservoir,h_reservoir,porosity_reservoir,ECD_SP,case_number
Case2_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,943.065432108065,345.284826505231,70.1722292187853,30.3748631264759,26.8154518667548,0.0677768231627438,6395.896,2
Case6_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,953.074258013053,328.526863824403,152.69185713223,17.7681493723443,43.699845784197,0.0799891525360262,6395.896,6
Case4_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,971.53868483307,362.623304745037,102.619313862004,16.364638243424,42.7201493739518,0.104971482777941,6395.896,4
Case8_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,1022.36260688066,316.456194552743,93.5142683036326,11.1836452888858,10.060153251093,0.198925266139761,6395.896,8
Case5_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,933.170224866311,380.953428051114,68.2824682338607,24.8472113603057,30.1513931672979,0.0535093386749851,6395.896,5
Case1_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,961.437922885143,319.581207811263,96.475021544651,22.0684263139816,28.2742258599088,0.0529045982512409,6395.896,1
Case3_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,1007.91038550233,302.783416386807,95.389714371316,17.5954618423179,12.063519987594,0.10899516152046,6395.896,3
Case7_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,926.216868577957,352.946153096212,106.43258341849,28.6951889548843,36.8115419807995,0.129378679219546,6395.896,7
Case44_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,1051.40269484713,360.998295308793,100.267350206028,23.9079700650308,20.3707730952207,0.23185541281294,6395.896,44
Case20_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,950.479813097574,299.30172456258,84.1480362256068,14.5926504889099,24.0560416937013,0.224483598941141,6395.896,20
Case32_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,986.652692977281,321.31520988327,72.5608248950909,9.71805001204207,37.9506373992474,0.349270806367734,6395.896,32
Case56_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,1019.81405045497,387.823689996184,85.4139053468193,15.1075499681475,44.8301886024288,0.196242581861624,6395.896,56
Case43_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,946.723321145888,382.719940752879,148.661141202313,33.8848162895964,32.3806801139241,0.16586870187866,6395.896,43
Case19_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,1041.53886132746,400.667490938134,116.041721601278,20.5924981254472,36.0816937385302,0.151286493842484,6395.896,19
Case55_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,1035.83766086942,376.815590234831,81.9483112172103,21.7903398470065,85.023474311543,0.236569346789838,6395.896,55
Case31_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,979.529706486822,426.566368958527,85.572160347208,17.1600970193783,38.1704317473778,0.14648949072467,6395.896,31
Case18_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,993.610902514642,381.218144811483,166.694316686527,15.190274229811,76.7055919197786,0.159926182030342,6395.896,18
Case54_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,1009.45875349604,375.808227202635,91.3264753497458,16.9456686973451,44.7903491184687,0.17589125692379,6395.896,54
Case42_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,1000.09399928481,365.039797219218,98.3749293318009,8.42177933381645,23.4740105639306,0.113605431771914,6395.896,42
Case30_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,1072.78839406611,381.263054033424,68.6579543406834,9.93597687641541,26.1492080039735,0.113548692986031,6395.896,30
Case17_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,1015.53022486517,352.078320213005,100.247005210597,13.5969349564364,22.9984286777643,0.119104377233849,6395.896,17
Case41_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,957.79982656698,395.5617484525,113.784121247634,18.7812672365922,52.4861239032643,0.232021951357895,6395.896,41
Case53_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,1061.60904138712,374.68237346914,116.69663273677,19.2863513311983,45.159126825839,0.0820031361522286,6395.896,53
Case16_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,1004.0316363816,327.844758914259,96.7056434600918,38.5884063921723,72.6346190722201,0.250826975275108,6395.896,16
Case29_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,1034.02687252113,291.357804791588,102.962095478506,12.125765949479,24.4454608230047,0.101675948880703,6395.896,29
Case40_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,1045.06865123561,388.356639365938,130.730081560947,17.991181997748,37.2507352779313,0.236639731331219,6395.896,40
Case52_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,1003.49923939704,400.505071639336,64.9994418705426,16.6195916786504,38.283644105417,0.214449953019815,6395.896,52
Case15_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,980.885816345939,308.996578148785,143.94127475408,13.1061620809383,47.8824845326618,0.13256716668167,6395.896,15
Case28_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,1043.98529657007,369.661598565859,90.013118606441,23.2754714471667,25.1268338962726,0.0689673486117797,6395.896,28
Case51_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,999.807272182193,370.764474949951,95.523965932344,11.2918604367477,49.9536703641237,0.108737989358851,6395.896,51
Case39_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,987.742018424378,303.674778223446,77.1403729219736,11.508251806748,23.8704814716666,0.1288201853087,6395.896,39
Case50_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,1060.43696159956,344.763356116478,123.146664839192,22.3110680753659,41.8133575865687,0.203400825008651,6395.896,50
Case14_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,910.355794693497,400.699752233399,79.5691237107545,11.3930269687574,36.4227082630276,0.267871502007555,6395.896,14
Case38_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,944.734351465167,295.982768604124,118.802307471636,15.629193082879,58.9173671493238,0.286736209801635,6395.896,38
Case27_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,1002.57624569557,374.619320481807,130.086377423481,14.1594660384196,21.981385981822,0.0845655172944351,6395.896,27
Case13_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,1013.06542482002,371.49394033215,139.524945983288,26.7204247784529,40.7805909213394,0.342542628822397,6395.896,13
Case49_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,1056.15438078592,307.92095803815,84.9958469600044,13.8679736839093,30.0823780887259,0.056591748803729,6395.896,49
Case37_TD_13820ft_Event_DynamicControl_SBM.mat,1.80928562340396,953.439404089746,424.285173131469,105.032315212988,22.6972766088038,31.4424098284297,0.0723126581832361,6395.896,37
